track_title,id,artist,hotness,genre,genreid,year
Don’t Cry For Me Argentina,87,Madonna,14,Pop,5,1997
Secret,71,Madonna,30,R&B,7,1995
Take A Bow,8,Madonna,93,Pop,5,1995
You Must Love Me,99,Madonna,2,Pop,5,1997
Up Jumps Da Boogie,58,Magoo And Timbaland,43,Hip hop,4,1997
Fantasy,7,Mariah Carey,94,Pop,5,1995
Honey,32,Mariah Carey,69,R&B,7,1997
Return Of The Mack,8,Mark Morrison,93,R&B,7,1997
In The House Of Stone And Light,35,Martin Page,66,Pop rock,6,1995
Cold Rock A Party,61,Mc Lyte,40,Hip hop,4,1997
I’m The Only One,44,Melissa Etheridge,57,Rock,8,1995
Like The Way I Do-If I Wanted To,90,Melissa Etheridge,11,Rock,8,1995
Bitch,15,Meredith Brooks,86,Alternative,1,1997
Mouth,42,Merril Bainbridge,59,Pop,5,1997
I’ll Be There For You-You’re All I Need To Get By,42,Method Man-Mary J. Blige,59,Hip hop,4,1995
Go The Distance,89,Michael Bolton,12,Pop,5,1997
You Are Not Alone,21,Michael Jackson,80,R&B,7,1995
Scream / Childhood,56,Michael Jackson and Janet Jackson,45,R&B,7,1995
He’s Mine,40,Mokenstef,61,R&B,7,1995
Don’t Take It Personal (Just One Of Dem Days),9,Monica,92,R&B,7,1995
For You I Will,13,Monica,88,R&B,7,1997
This Is How We Do It,10,Montell Jordan,91,R&B,7,1995
What’s On Tonight,76,Montell Jordan,25,R&B,7,1997
Coco Jamboo,92,Mr. President,9,EDM,3,1997
I Miss You,96,N II U,5,R&B,7,1995
Carnival,60,Natalie Merchant,41,Rock,8,1995
Feel Me Flow,73,Naughty By Nature,28,Hip hop,4,1995
I’m Still In Love With You,44,New Edition,57,R&B,7,1997
Butta Love,91,Next,10,R&B,7,1997
Total Eclipse Of The Heart,19,Nicki French,82,EDM,3,1995
Where Do You Go,52,No Mercy,49,Pop,5,1997
Big Poppa / Warning,47,Notorious B.I.G.,54,Hip hop,4,1995
Hypnotize,25,Notorious B.I.G.,76,Hip hop,4,1997
Mo Money Mo Problems,20,Notorious B.I.G.,81,Hip hop,4,1997
One More Chance-Stay With Me,23,Notorious B.I.G.,78,Hip hop,4,1995
Where Have All The Cowboys Gone?,38,Paula Cole,63,Alternative,1,1997
I’ll Stand By You,95,Pretenders,6,EDM,3,1995
Can’t Nobody Hold Me Down,5,Puff Daddy,96,Hip hop,4,1997
I’ll Be Missing You,3,Puff Daddy and Faith Evans,98,Hip hop,4,1997
Gotham City,70,R. Kelly,31,R&B,7,1997
I Believe I Can Fly,6,R. Kelly,95,R&B,7,1997
Ask Of You,83,Raphael Saadiq,18,R&B,7,1995
Let It Go,100,Ray J,1,R&B,7,1997
Another Night,6,Real McCoy,95,EDM,3,1995
Come And Get Your Love,69,Real McCoy,32,Pop rock,6,1995
One More Time,90,Real McCoy,11,EDM,3,1997
Run Away,38,Real McCoy,63,EDM,3,1995
Cotton Eye Joe,93,Rednex,8,Country,2,1995
Do You Know (What It Takes),29,Robyn,72,Pop,5,1997
I Belong To You (Every Time I See Your Face),24,Rome,77,R&B,7,1997
Building A Mystery,63,Sarah McLachlan,38,Pop rock,6,1997
I Want You,22,Savage Garden,79,Pop rock,6,1997
Smile,75,Scarface,26,Hip hop,4,1997
Fly Like An Eagle,79,Seal,22,Rock,8,1997
Kiss From A Rose,4,Seal,97,Pop,5,1995
Boombastic / In The Summertime,18,Shaggy,83,Reggae,10,1995
Sunny Came Home,39,Shawn Colvin,62,Rock,8,1997
All I Wanna Do,67,Sheryl Crow,34,Pop,5,1995
Everyday Is A Winding Road,60,Sheryl Crow,41,Pop rock,6,1997
If It Makes You Happy,55,Sheryl Crow,46,Rock,8,1997
Strong Enough,30,Sheryl Crow,71,Pop,5,1995
All For You,36,Sister Hazel,65,Alternative,1,1997
I Wish,58,Skee-lo,43,Hip hop,4,1995
My Love Is The Shhh!,51,Somethin’ For The People,50,R&B,7,1997
As I Lay Me Down,39,Sophie B. Hawkins,62,Pop,5,1995
Misery,99,Soul Asylum,2,Alternative,1,1995
Candy Rain,25,Soul For Real,76,R&B,7,1995
