track_title,id,artist,hotness,genre,genreid,year
Price Of Love,68,Bad English,33,Rock,8,1990
I Remember You,72,Skid Row,29,Rock,8,1990
Epic,75,Faith No More,26,Rock,8,1990
I Go To Extremes,82,Billy Joel,19,Rock,8,1990
What It Takes,91,Aerosmith,10,Rock,8,1990
Forever,92,Kiss,9,Rock,8,1990
Without You,96,Motley Crue,5,Rock,8,1990
Downtown Train,37,Rod Stewart,64,Rock ,8,1990
Unbelievable,6,EMF,95,Alternative,1,1991
"Right Here, Right Now",17,Jesus Jones,84,Alternative,1,1991
Losing My Religion,33,R.E.M.,68,Alternative,1,1991
I’ll Be There,65,Escape Club,36,Alternative,1,1991
Real Real Real,85,Jesus Jones,16,Alternative,1,1991
Disappear,90,INXS,11,Alternative,1,1991
Gonna Make You Sweat,3,C+C Music Factory,98,EDM,3,1991
I’ve Been Thinking About You,31,Londonbeat,70,EDM,3,1991
Here We Go,36,C+C Music Factory,65,EDM,3,1991
Tom’s Diner,53,DNA,48,EDM,3,1991
Temptation,58,Corina,43,EDM,3,1991
3 A.M. Eternal,61,The KLF,40,EDM,3,1991
Just Another Dream,86,Cathy Dennis,15,EDM,3,1991
Strike It Up,88,Black Box,13,EDM,3,1991
Groove Is In The Heart,91,Deee-Lite,10,EDM,3,1991
Good Vibrations,20,Marky Mark and The Funky Bunch feat. Loleatta Holloway,81,Hip hop,4,1991
Summertime,38,D.J. Jazzy Jeff and The Fresh Prince,63,Hip hop,4,1991
Things That Make You Go Hmmmm…,51,C+C Music Factory,50,Hip hop,4,1991
Iesha,54,Another Bad Creation,47,Hip hop,4,1991
Around The Way Girl,64,LL Cool J,37,Hip hop,4,1991
Now That We Found Love,67,Heavy D. and The Boyz,34,Hip hop,4,1991
Rico Suave,89,Gerardo,12,Hip hop,4,1991
O.P.P.,94,Naughty By Nature,7,Hip hop,4,1991
Do You Want Me,98,Salt-N-Pepa,3,Hip hop,4,1991
Rush Rush,4,Paula Abdul,97,Pop,5,1991
One More Try,5,Timmy T,96,Pop,5,1991
"Baby, Baby",10,Amy Grant,91,Pop,5,1991
Because I Love You (The Postman Song),12,Stevie B,89,Pop,5,1991
Someday,13,Mariah Carey,88,Pop,5,1991
From A Distance,15,Bette Midler,86,Pop,5,1991
Justify My Love,21,Madonna,80,Pop,5,1991
Emotions,22,Mariah Carey,79,Pop,5,1991
Every Heartbeat,28,Amy Grant,73,Pop,5,1991
Touch Me (All Night Long),30,Cathy Dennis,71,Pop,5,1991
Do Anything,32,Natural Selection,69,Pop,5,1991
Coming Out Of The Dark,34,Gloria Estefan,67,Pop,5,1991
The Promise Of A New Day,41,Paula Abdul,60,Pop,5,1991
I’m Your Baby Tonight,42,Whitney Houston,59,Pop,5,1991
This House,45,Tracie Spencer,56,Pop,5,1991
Impulsive,48,Wilson Phillips,53,Pop,5,1991
Saideness Part I,63,Enigrna,38,Pop,5,1991
Cry For Help,70,Rick Astley,31,Pop,5,1991
Too Many Walls,74,Cathy Dennis,27,Pop,5,1991
Get Here,80,Oleta Adams,21,Pop,5,1991
Freedom 90,95,George Michael,6,Pop,5,1991
Joyride,23,Roxette,78,Pop rock,6,1991
You’re In Love,27,Wilson Phillips,74,Pop rock,6,1991
Fading Like A Flower (Every Time You Leave),44,Roxette,57,Pop rock,6,1991
Love Is A Wonderful Thing,49,Michael Bolton,52,Pop rock,6,1991
I Touch Myself,52,Divinyls,49,Pop rock,6,1991
Can’t Stop This Thing We Started,59,Bryan Adams,42,Pop rock,6,1991
All This Time,92,Sting,9,Pop rock,6,1991
The One And Only,93,Chesney Hawkes,8,Pop rock,6,1991
I Wanna Sex You Up,2,Color Me Badd,99,R&B,7,1991
I Like The Way (The Kissing Game),8,Hi-Five,93,R&B,7,1991
The First Time,9,Surface,92,R&B,7,1991
Motownphilly,11,Boyz II Men,90,R&B,7,1991
All The Man That I Need,16,Whitney Houston,85,R&B,7,1991
I Adore Mi Amor,18,Color Me Badd,83,R&B,7,1991
Love Will Never Do (Without You),19,Janet Jackson,82,R&B,7,1991
Romantic,24,Karyn White,77,R&B,7,1991
Hold You Tight,25,Tara Kemp,76,R&B,7,1991
I Don’t Wanna Cry,26,Mariah Carey,75,R&B,7,1991
Sensitivity,29,Ralph Tresvant,72,R&B,7,1991
P.A.S.S.I.O.N.,40,Rhythm Syndicate,61,R&B,7,1991
Power Of Love-Love Power,47,Luther Vandross,54,R&B,7,1991
I Can’t Wait Another Minute,60,Hi-Five,41,R&B,7,1991
Love Takes Time,69,Mariah Carey,32,R&B,7,1991
Crazy,75,Seal,26,R&B,7,1991
I’ll Give All My Love To You,76,Keith Sweat,25,R&B,7,1991
Round And Round,81,Tevin Campbell,20,R&B,7,1991
I’m Not In Love,83,Will To Power,18,R&B,7,1991
Piece Of My Heart,84,Tara Kemp,17,R&B,7,1991
Everybody Plays The Fool,87,Aaron Neville,14,R&B,7,1991
The Way You Do The Things You Do,71,UB40,30,Reggae,10,1991
Here I Am (Come And Take Me),72,UB40,29,Reggae,10,1991
(Everything I Do) I Do It For You,1,Bryan Adams,100,Rock,8,1991
More Than Words,7,Extreme,94,Rock,8,1991
High Enough,14,Damn Yankees,87,Rock,8,1991
It Ain’t Over ‘Til It’s Over,35,Lenny Kravitz,66,Rock,8,1991
Where Does My Heart Beat Now,37,Celine Dion,64,Rock,8,1991
Wind Of Change,39,Scorpions,62,Rock,8,1991
Love Of A Lifetime,43,Firehouse,58,Rock,8,1991
Hole Hearted,46,Extreme,55,Rock,8,1991
Rhythm Of My Heart,50,Rod Stewart,51,Rock,8,1991
Something To Talk About,55,Bonnie Raitt,46,Rock,8,1991
After The Rain,56,Nelson,45,Rock,8,1991
Play That Funky Music,57,Vanilla Ice,44,Rock,8,1991
Time. Love And Tenderness,62,Michael Bolton,39,Rock,8,1991
Cream,66,Prince And The N.P.G.,35,Rock,8,1991
Show Me The Way,68,Styx,33,Rock,8,1991
Signs,73,Tesla,28,Rock,8,1991
Place In This World,77,Michael W. Smith,24,Rock,8,1991
Something To Believe In,78,Poison,23,Rock,8,1991
Wicked Game,79,Chris Issak,22,Rock,8,1991
Silent Lucidity,82,Queensryche,19,Rock,8,1991
I Saw Red,96,Warrant,5,Rock,8,1991
Miles Away,97,Winger,4,Rock,8,1991
The Motown Song,99,Rod Stewart,2,Rock,8,1991
Shiny Happy People,100,R.E.M.,1,Rock,8,1991
Under The Bridge,8,Red Hot Chili Peppers,93,Alternative,1,1992
Smells Like Teen Spirit,32,Nirvana,69,Alternative,1,1992
All I Want,53,Toad The Wet Sprocket,48,Alternative,1,1992
Mysterious Ways,57,U2,44,Alternative,1,1992
Friday I’m In Love,71,Cure,30,Alternative,1,1992
Everything Changes,79,Kathy Troccoli,22,Christian,11,1992
That’s What Love Is For,91,Amy Grant,10,Christian,11,1992
I Will Remember You,96,Amy Grant,5,Christian,11,1992
Achy Breaky Heart,15,Billy Ray Cyrus,86,Country,2,1992
Move This,38,Technotronic,63,EDM,3,1992
Please Don’t Go,47,K.W.S.,54,EDM,3,1992
Rhythm Is A Dancer,75,Snap,26,EDM,3,1992
Justified And Ancient,86,The KLF,15,EDM,3,1992
Baby Got Back,2,Sir Mix A-lot,99,Hip hop,4,1992
Jump,3,Kris Kross,98,Hip hop,4,1992
Jump Around,24,House Of Pain,77,Hip hop,4,1992
Ain’t 2 Proud 2 Beg,36,TLC,65,Hip hop,4,1992
Tennessee,40,Arrested Development,61,Hip hop,4,1992
Set Adrift On Memory Bliss,44,P.M. Dawn,57,Hip hop,4,1992
2 Legit 2 Quit,46,MC Hammer,55,Hip hop,4,1992
Warm It Up,65,Kris Kross,36,Hip hop,4,1992
People Everyday,67,Arrested Development,34,Hip hop,4,1992
Wildside,69,Marky Mark And The Funky Bunch,32,Hip hop,4,1992
Addams Groove,76,MC Hammer,25,Hip hop,4,1992
Back To The Hotel,78,N2Deep,23,Hip hop,4,1992
What About Your Friends,88,TLC,13,Hip hop,4,1992
They Want EFX,99,Das EFX,2,Hip hop,4,1992
Save The Best For Last,4,Vanessa Williams,97,Pop,5,1992
Just Another Day,10,Jon Secada,91,Pop,5,1992
I’m Too Sexy,13,Right Said Fred,88,Pop,5,1992
Black Or White,14,Michael Jackson,87,Pop,5,1992
Remember The Time,19,Michael Jackson,82,Pop,5,1992
This Used To Be My Playground,21,Madonna,80,Pop,5,1992
If You Asked Me To,28,Celine Dion,73,Pop,5,1992
Wishing On A Star,49,Cover Girls,52,Pop,5,1992
Good For Me,52,Amy Grant,49,Pop,5,1992
When A Man Loves A Woman,54,Michael Bolton,47,Pop,5,1992
Too Funky,58,George Michael,43,Pop,5,1992
Beauty And The Beast,64,Celine Dion And Peabo Bryson,37,Pop,5,1992
In The Closet,66,Michael Jackson,35,Pop,5,1992
Blowing Kisses In The Wind,73,Paula Abdul,28,Pop,5,1992
Missing You Now,77,Michael Bolton,24,Pop,5,1992
I Can’t Make You Love Me,100,Bonnie Raitt,1,Pop,5,1992
Diamonds And Pearls,25,Prince and The N.P.G.,76,Pop rock,6,1992
Damn I Wish I Was Your Lover,34,Sophie B. Hawkins,67,Pop rock,6,1992
The One,43,Elton John,58,Pop rock,6,1992
Stay,45,Shakespear’s Sister,56,Pop rock,6,1992
How Do You Talk To An Angel,59,Heights,42,Pop rock,6,1992
Hold On My Heart,62,Genesis,39,Pop rock,6,1992
Do I Have To Say The Words?,70,Bryan Adams,31,Pop rock,6,1992
Have You Ever Needed Somone So Bad,80,Def Leppard,21,Pop rock,6,1992
End Of The Road,1,Boyz II Men,100,R&B,7,1992
Baby-Baby-Baby,5,TLC,96,R&B,7,1992
My Lovin’ (You’re Never Gonna Get It),7,En Vogue,94,R&B,7,1992
All 4 Love,9,Color Me Badd,92,R&B,7,1992
I Love Your Smile,11,Shanice,90,R&B,7,1992
I’ll Be There,16,Mariah Carey,85,R&B,7,1992
Finally,20,CeCe Peniston,81,R&B,7,1992
Can’t Let Go,23,Mariah Carey,78,R&B,7,1992
Masterpiece,27,Atlantic Starr,74,R&B,7,1992
Giving Him Something He Can Feel,29,En Vogue,72,R&B,7,1992
Live And Learn,30,Joe Public,71,R&B,7,1992
Come & Talk To Me,31,Jodeci,70,R&B,7,1992
Humpin’ Around,33,Bobby Brown,68,R&B,7,1992
Tell Me What You Want Me To Do,35,Teven Campbell,66,R&B,7,1992
It’s So Hard To Say Goodbye To Yesterday,37,Boyz II Men,64,R&B,7,1992
The Best Things In Life Are Free,41,Luther Vandross and Janet Jackson,60,R&B,7,1992
Make It Happen,42,Mariah Carey,59,R&B,7,1992
Breakin’ My Heart (Pretty Brown Eyes),48,Mint Condition,53,R&B,7,1992
She’s Playing Hard To Get,50,Hi-Five,51,R&B,7,1992
I’d Die Without You,51,P.M. Dawn,50,R&B,7,1992
Keep On Walkin’,61,CeCe Peniston,40,R&B,7,1992
The Way I Feel About You,63,Karyn White,38,R&B,7,1992
I Wanna Love You,83,Jade,18,R&B,7,1992
Uhh Ahh,84,Boyz II Men,17,R&B,7,1992
Real Love,85,Mary J. Blige,16,R&B,7,1992
